OBJECTID,parkName,altPrkName,parkAddr,addressFull,prkAcreage,bcrpPark,parkOprtr,parkClass,ctyOwndPrk,bcrpAmnty,parkDstrct,cnclDstrct,policeDstrct,lgsltvDstrct,friendsGroup,Shape__Area,Shape__Length,perTreeCover18,perGreenSpace18,perUndvlpEst18,undvlpAcreage18,siteID
1,32nd Street Park,Abell Open Space,301 E 32nd St,"301 EAST 32ND ST, BALTIMORE, MD, 21218",0.168720780056216,Y,BCRP,Mini Park,Y,,Clifton,14,Northern,43,Yes,7349.50659179688,343.781810240235,21.7202224892221,88.6766971371139,12.1193019952831,0.0204479444468749,P1
2,Adams Park, ,1530 Montpelier St,"1530 MONTPELIER ST, BALTIMORE, MD, 21218",0.622840791754575,Y,BCRP,Mini Park,Y,,Clifton,14,Eastern,43,Unknown,27131.0532836914,1048.08336624423,46.2076836596574,76.686006099385,39.2193134782816,0.244275836789669,P2
3,Alexander Odum Park, ,3111 Presstman St,"3111 PRESSTMAN ST, BALTIMORE, MD, 21216",1.35720034642712,Y,BCRP,Neighborhood Park,Y,,Gwynns Falls,9,Northwestern,40,Unknown,59119.8836669922,1068.94543985131,48.5944297741272,82.2614227207065,70.7255326925075,0.959894853850929,P3
4,Alhambra Park, ,5200 Alhambra Ave,"5200 ALHAMBRA AVE, BALTIMORE, MD, 21212",0.992765124501049,Y,BCRP,Mini Park,Y,,Clifton,4,Northern,43,Unknown,43245.0219116211,1435.81007797684,5.45968551850375,68.9398756172777,0.166030193922702,0.00164830304779087,P4
5,Henrietta Lacks Educational Park,Ambrose Kennedy Park,1002 Harford Ave,"1002 HARFORD AVE, BALTIMORE, MD, 21202",1.72519274853807,Y,BCRP,Neighborhood Park,Y,,Patterson,12,Central,45,Unknown,75149.6967773438,1171.85953254039,5.08901804030304,52.0382772786842,1.94513953588358,0.0335576746826027,P5
6,Anchorage Promenade Park, ,2339 Boston St (Rear),"2339 BOSTON ST, BALTIMORE, MD, 21224",0.29676190861571,Y,BCRP,Citywide Park,Y,,Patterson,1,Southeastern,46,Unknown,12927.0003662109,1744.91320177861,8.13838095402448,82.3599659133445,42.2888728967595,0.125498270323646,P6
7,Andover & North Hill Park, ,1116 Andover Rd (Rear),"1116 ANDOVER RD, BALTIMORE, MD, 21218",0.602632733932896,Y,BCRP,Mini Park,Y,,Clifton,14,Northeastern,43,Unknown,26250.7869262695,705.968340528665,43.4124385355499,83.3676473493545,31.4198579415978,0.189347863689648,P7
8,Arnold Sumpter Park, ,240 Laurens St,"240 LAURENS ST, BALTIMORE, MD, 21217",2.97412883786046,Y,BCRP,Neighborhood Park,Y,,Druid Hill,7,Western,40,Unknown,129553.570617676,1505.56117670847,47.6802690086757,97.0387966577596,69.858729660954,2.07770524620152,P8
9,Asbury Park, ,1322 Asbury Rd,"1322 ASBURY RD, BALTIMORE, MD, 21209",2.79891735339339,Y,BCRP,Green Space,Y,,Druid Hill,5,Northern,41,Unknown,121921.327148438,3146.04608132294,69.536978793728,99.1657905197618,67.5834776002807,1.89162081550212,P9
10,Atlantic Avenue Park, ,2304 Atlantic Ave,"2304 ATLANTIC AVE, BALTIMORE, MD, 21230",1.61107902404982,Y,BCRP,Green Space,Y,,Carroll,10,Southern,46,Unknown,70178.8831787109,1661.03456669821,72.3091888247686,94.4733279313747,39.7059316313871,0.639699053393916,P10
11,B & O Museum Park, ,906 W Pratt St,"906 WEST PRATT ST, BALTIMORE, MD, 21223",0.479261693433,N,BCRP,Mini Park,Y,,Gwynns Falls,9,Southwestern,40,Unknown,20876.6392822266,606.79801925071,17.0761885509105,68.435788547172,10.22713768491,0.0490149493165202,P11
